epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3704.79,0.57066,0.35872,0.83976,0.98957,0.99254,0.99492,0.82447,0.68863,0.40091,0.87251,0.000990365,0.000990365,0.000990365
43,3792.95,0.58571,0.36332,0.84119,0.99383,1,0.995,0.83631,0.65003,0.36524,0.86632,0.000973861,0.000973861,0.000973861
44,3878.19,0.57255,0.3508,0.83469,0.99497,1,0.995,0.82683,0.70105,0.3811,0.87603,0.000957358,0.000957358,0.000957358
45,3963.31,0.56642,0.35331,0.83096,0.99786,1,0.995,0.83195,0.663,0.37612,0.86978,0.000940855,0.000940855,0.000940855
46,4047.54,0.57979,0.35964,0.84485,0.99872,1,0.995,0.82821,0.69749,0.37715,0.87776,0.000924352,0.000924352,0.000924352
47,4132.23,0.57311,0.36911,0.8353,0.99767,1,0.995,0.83758,0.66167,0.36741,0.87082,0.000907848,0.000907848,0.000907848
48,4217.09,0.56748,0.34652,0.83311,0.99892,1,0.995,0.81948,0.7012,0.36725,0.8848,0.000891345,0.000891345,0.000891345
49,4302.68,0.57763,0.3496,0.84481,0.99865,1,0.995,0.83274,0.67574,0.35933,0.87396,0.000874842,0.000874842,0.000874842
50,4386.66,0.55072,0.33406,0.83133,0.99872,1,0.995,0.83223,0.67379,0.36021,0.87705,0.000858338,0.000858338,0.000858338
51,4471.06,0.56513,0.34271,0.83752,0.99628,0.99587,0.995,0.83389,0.67637,0.34812,0.8729,0.000841835,0.000841835,0.000841835
52,4556.12,0.53852,0.32895,0.82984,0.99401,0.99174,0.99479,0.83527,0.65243,0.3519,0.86378,0.000825332,0.000825332,0.000825332
53,4641.27,0.5376,0.32761,0.83051,0.99407,0.99587,0.99314,0.83075,0.67094,0.36038,0.87171,0.000808828,0.000808828,0.000808828
54,4726.58,0.55573,0.33636,0.83392,0.98906,1,0.99467,0.82413,0.67547,0.37249,0.87312,0.000792325,0.000792325,0.000792325
55,4811.5,0.56754,0.33661,0.83797,0.99686,1,0.995,0.82606,0.68576,0.36007,0.87778,0.000775822,0.000775822,0.000775822
56,4896.69,0.56856,0.33644,0.83186,0.99865,1,0.995,0.83658,0.66386,0.34167,0.86949,0.000759318,0.000759318,0.000759318
57,4988.73,0.54608,0.32412,0.83707,0.99739,1,0.995,0.83638,0.66131,0.34345,0.86761,0.000742815,0.000742815,0.000742815
58,5076.22,0.53842,0.31402,0.82692,0.9946,1,0.99496,0.83829,0.66827,0.3408,0.86992,0.000726312,0.000726312,0.000726312
59,5162.24,0.54622,0.31895,0.83248,0.99424,1,0.99496,0.83637,0.65758,0.33475,0.86729,0.000709809,0.000709809,0.000709809
60,5246.86,0.55243,0.31796,0.83911,0.99438,1,0.99492,0.83117,0.67856,0.33227,0.87164,0.000693305,0.000693305,0.000693305
61,5331.6,0.55015,0.31684,0.83492,0.98906,1,0.99467,0.83237,0.67171,0.34778,0.87366,0.000676802,0.000676802,0.000676802
62,5415.92,0.55737,0.31968,0.83702,0.9723,1,0.99399,0.83504,0.65891,0.35194,0.86841,0.000660299,0.000660299,0.000660299
63,5501.69,0.5489,0.31226,0.82537,0.97492,1,0.99362,0.83618,0.65755,0.34455,0.87355,0.000643795,0.000643795,0.000643795
64,5585.9,0.53896,0.30535,0.84143,0.96965,1,0.99316,0.83786,0.65907,0.34435,0.86818,0.000627292,0.000627292,0.000627292
65,5671.04,0.55089,0.30676,0.83004,0.97555,0.99174,0.99368,0.83821,0.66506,0.34632,0.87101,0.000610789,0.000610789,0.000610789
66,5755.62,0.53096,0.29879,0.82391,0.99546,0.99326,0.99496,0.83132,0.68724,0.3316,0.87492,0.000594286,0.000594286,0.000594286
67,5840.08,0.53671,0.30212,0.82901,0.99718,1,0.995,0.84113,0.6545,0.32432,0.8659,0.000577782,0.000577782,0.000577782
68,5924.78,0.54219,0.30305,0.83411,0.99862,1,0.995,0.83164,0.70263,0.33068,0.88292,0.000561279,0.000561279,0.000561279
69,6009.15,0.53397,0.29847,0.82653,0.99929,0.99945,0.995,0.83636,0.65567,0.31987,0.86856,0.000544776,0.000544776,0.000544776
70,6094.93,0.52763,0.29368,0.82351,0.99917,0.99943,0.995,0.838,0.66495,0.31449,0.86895,0.000528272,0.000528272,0.000528272
71,6179.72,0.53433,0.29835,0.82885,0.99876,1,0.995,0.83909,0.65065,0.32332,0.86158,0.000511769,0.000511769,0.000511769
72,6264.96,0.53451,0.30077,0.83055,0.99854,0.99898,0.995,0.83246,0.67191,0.32276,0.8693,0.000495266,0.000495266,0.000495266
73,6350.6,0.53431,0.29202,0.82999,0.99898,0.9982,0.995,0.83994,0.65518,0.31605,0.86601,0.000478762,0.000478762,0.000478762
74,6461.12,0.53528,0.2933,0.83011,0.99871,0.99587,0.995,0.83427,0.65813,0.31425,0.86681,0.000462259,0.000462259,0.000462259
75,6549.72,0.53144,0.29759,0.82943,0.99752,1,0.995,0.84201,0.64841,0.30677,0.86373,0.000445756,0.000445756,0.000445756
76,6648.05,0.5262,0.29273,0.83437,0.99795,1,0.995,0.83553,0.67064,0.31184,0.86998,0.000429253,0.000429253,0.000429253
77,6734.99,0.51264,0.28485,0.82963,0.99825,1,0.995,0.83806,0.65936,0.30586,0.86798,0.000412749,0.000412749,0.000412749
