epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,538.214,0.40964,0.34319,1.02248,1,0.9697,0.9848,0.83178,0.89312,0.7448,1.63287,0.000755429,0.000755429,0.000755429
46,550.11,0.43677,0.33683,0.99862,1,0.87879,0.93935,0.81512,0.81955,0.69619,1.4942,0.000727143,0.000727143,0.000727143
47,562.403,0.41184,0.35024,0.98076,1,0.84848,0.9242,0.81815,0.81105,0.74519,1.49012,0.000698857,0.000698857,0.000698857
48,573.946,0.40796,0.34017,0.97765,1,0.87879,0.93935,0.83482,0.90952,0.72767,1.67091,0.000670571,0.000670571,0.000670571
49,584.383,0.4077,0.34078,0.99647,1,0.87879,0.93935,0.83178,0.83476,0.6748,1.5982,0.000642286,0.000642286,0.000642286
50,595.098,0.41655,0.3381,0.99342,1,0.84848,0.9242,0.82118,0.9137,0.71853,1.64817,0.000614,0.000614,0.000614
51,606.11,0.39039,0.31534,0.99229,1,0.93939,0.96965,0.83633,0.8877,0.73576,1.69153,0.000585714,0.000585714,0.000585714
52,617.079,0.38934,0.32214,0.96228,1,0.93939,0.96965,0.84542,0.90509,0.71873,1.75111,0.000557429,0.000557429,0.000557429
53,627.919,0.38067,0.31027,0.97181,1,0.93939,0.96965,0.86057,0.84763,0.65971,1.63079,0.000529143,0.000529143,0.000529143
54,638.46,0.38291,0.31084,0.97632,1,0.9697,0.9848,0.87572,0.77075,0.59997,1.55398,0.000500857,0.000500857,0.000500857
55,648.903,0.38235,0.32004,0.99138,1,0.9697,0.9848,0.8742,0.82357,0.59671,1.6322,0.000472571,0.000472571,0.000472571
56,659.601,0.3526,0.29296,0.97259,1,1,0.995,0.89242,0.74802,0.53231,1.4967,0.000444286,0.000444286,0.000444286
57,670.286,0.38422,0.32074,0.99299,1,1,0.995,0.89143,0.72403,0.47921,1.45889,0.000416,0.000416,0.000416
58,681.114,0.34735,0.29103,0.94912,1,1,0.995,0.88688,0.70853,0.47112,1.42383,0.000387714,0.000387714,0.000387714
59,692.035,0.39585,0.31117,0.98761,1,1,0.995,0.88839,0.80204,0.56836,1.53587,0.000359429,0.000359429,0.000359429
60,704.494,0.36407,0.31791,0.97531,1,1,0.995,0.8798,0.84583,0.62099,1.58034,0.000331143,0.000331143,0.000331143
61,715.664,0.31867,0.38699,0.97008,1,1,0.995,0.88586,0.74292,0.61886,1.48675,0.000302857,0.000302857,0.000302857
62,726.092,0.29365,0.32119,0.92104,1,1,0.995,0.89343,0.7486,0.59824,1.50856,0.000274571,0.000274571,0.000274571
63,736.448,0.29314,0.3343,0.9238,1,1,0.995,0.90506,0.73834,0.56992,1.53078,0.000246286,0.000246286,0.000246286
64,746.791,0.2874,0.32787,0.90952,1,1,0.995,0.92324,0.69845,0.47107,1.51149,0.000218,0.000218,0.000218
65,757.232,0.28186,0.29656,0.9305,1,1,0.995,0.93081,0.67726,0.42029,1.4856,0.000189714,0.000189714,0.000189714
66,767.761,0.2779,0.29394,0.92764,1,1,0.995,0.9288,0.68669,0.45822,1.50804,0.000161429,0.000161429,0.000161429
67,778.193,0.27507,0.29002,0.95215,1,1,0.995,0.92828,0.69586,0.44431,1.48763,0.000133143,0.000133143,0.000133143
68,789.351,0.26448,0.28749,0.91691,1,1,0.995,0.93131,0.65068,0.4225,1.40229,0.000104857,0.000104857,0.000104857
69,800.458,0.26759,0.29418,0.91913,1,1,0.995,0.92676,0.60752,0.40964,1.3472,7.65714e-05,7.65714e-05,7.65714e-05
70,811.401,0.24982,0.27102,0.89415,1,1,0.995,0.9298,0.59315,0.40178,1.32474,4.82857e-05,4.82857e-05,4.82857e-05
